Station, Fav, StationName, HydStatus, Prov, Latitude(Degrees), Longitude(Degrees), DrainageArea(km≤), Years, From, To, Reg., Flow, Level, Sed, OperSched, RealTime, RHBN, Region, Datum, Operator
02JB012, , SIMARD (LAC) A LAFORCE, Active, QC,47.5362,-78.7294,23400,26,1987,2013, , , True, , Continuous, True, , QUEBEC CITY, ASSUMED DATUM, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JB013, , KINOJEVIS (RIVIERE) A 0 3 KM EN AMONT DU PONT-ROUTE A CLERICY, Active, QC,48.3667,-78.8533,2590,49,1965,2013, , True, , , Continuous, True, , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JB017, , QUINZE (LAC DES) A ANGLIERS, Active, QC,47.5526,-79.2355,23400,27,1987,2013, , , True, , Continuous, True, , QUEBEC CITY, ASSUMED DATUM, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JB021, , OUTAOUAIS (RIVIERE DES) CENTRALE DE PREMIERE CHUTE, Discontinued, QC,47.6,-79.4542,23600,10,1985,1994, True, True, , , Continuous, , , QUEBEC CITY, , QUEBEC HYDRO-ELECTRIC COMMISSION
02JB022, , OUTAOUAIS (RIVIERE DES) CENTRALE DE RAPIDE DESQUINZE, Discontinued, QC,47.5914,-79.295,23400,10,1985,1994, True, True, , , Continuous, , , QUEBEC CITY, , QUEBEC HYDRO-ELECTRIC COMMISSION
02JB023, , OUTAOUAIS (RIVIERE DES) CENTRALE DE RAPIDE DESILES, Discontinued, QC,47.5911,-79.3297,24300,10,1985,1994, True, True, , , Continuous, , , QUEBEC CITY, , QUEBEC HYDRO-ELECTRIC COMMISSION
02JC001, , ENGLEHART RIVER NEAR ENGLEHART, Discontinued, ON,47.7944,-79.8889,1110,8,1914,1921, True, True, , , Seasonal, , , BURLINGTON, , ONTARIO POWER GENERATION
02JC003, , ENGLEHART RIVER NEAR CHARLTON, Discontinued, ON,47.8097,-79.9986,958,5,1921,1925, True, True, , , Continuous, , , BURLINGTON, , 
02JC007, , BOSTON CREEK NEAR DANE, Discontinued, ON,48.0583,-79.9917,23.3,1,1960,1960, , True, , , Seasonal, , , BURLINGTON, , 
02JC008, , BLANCHE RIVER ABOVE ENGLEHART, Active, ON,47.8891,-79.8793,1780,51,1968,2018, , True, True, , Continuous, True, True, BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JC009, , BLANCHE RIVER AT SWASTIKA, Discontinued, ON,48.1086,-80.1058,251,11,1968,1978, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02JC010, , LARDER RIVER ABOVE RAVEN LAKE, Discontinued, ON,48.0272,-79.5781,256,11,1981,1991, True, True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02JD002, , MONTREAL RIVER NEAR ELK LAKE, Discontinued, ON,47.7167,-80.3167,3650,3,1921,1923, True, True, , , Continuous, , , BURLINGTON, , 
02JD004, , MONTREAL RIVER AT ELK LAKE, Discontinued, ON,47.7258,-80.3247,4120,21,1937,1957, True, True, , , Continuous, , , BURLINGTON, , 
02JD005, , MONTREAL RIVER AT INDIAN CHUTE PLANT, Discontinued, ON,47.8417,-80.4472,3420,22,1936,1957, True, True, , , Continuous, , , BURLINGTON, , GREAT NORTHERN POWER COMPANY
02JD006, , MONTREAL RIVER AT INDIAN CHUTE, Discontinued, ON,47.8417,-80.45,3420,35,1923,1957, True, True, , , Continuous, , , BURLINGTON, , 
02JD008, , MONTREAL RIVER AT UPPER NOTCH GENERATING STATION, Discontinued, ON,47.2214,-79.5903,6480,42,1930,1971, True, True, , , Continuous, , , BURLINGTON, , ONTARIO POWER GENERATION
02JD009, , MONTREAL RIVER AT MOUNTAIN CHUTES, Discontinued, ON,47.6392,-80.1911,4300,28,1968,1995, True, True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JD010, , MONTREAL RIVER AT LOWER NOTCH GENERATING STATION, Discontinued, ON,47.1375,-79.4542,6600,23,1972,1994, True, True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, ONTARIO MINISTRY OF THE ENVIRONMENT
02JD011, , LADY EVELYN RIVER AT LADY EVELYN LAKE, Discontinued, ON,47.4606,-79.9953,1370,54,1946,1999, True, True, , , Continuous, , , BURLINGTON, GEODETIC SURVEY OF CANADA DATUM, ONTARIO POWER GENERATION
02JD012, , WEST MONTREAL RIVER AT MISTINIKON LAKE DAM, Discontinued, ON,48.0403,-80.7039,1780,49,1946,1994, True, True, , , Continuous, , , BURLINGTON, GEODETIC SURVEY OF CANADA DATUM, ONTARIO POWER GENERATION
02JD013, , BAY LAKE AT LATCHFORD, Active, ON,47.321,-79.812,270,30,1990,2019, True, , True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JD014, , MONTREAL RIVER AT LATCHFORD, Active, ON,47.3214,-79.81,6240,1,2018,2018, True, , True, , Continuous, True, , BURLINGTON, , WATER SURVEY OF CANADA (DOE) (CANADA)
02JE001, , KIPAWA (RIVIERE) EN AVAL DU BARRAGE DE KIPAWA, Discontinued, QC,47.0494,-79.2867,5960,29,1927,1955, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JE002, , GORDON (RUISSEAU) A KIPAWA, Discontinued, QC,46.7796,-78.9851, ,25,1987,2011, , True, True, , Continuous, , , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JE003, , OTTAWA RIVER NEAR TIMISKAMING, Discontinued, ON,46.6667,-79.0833,46100,41,1911,1951, True, True, , , Continuous, , , BURLINGTON, , 
02JE005, , KIPAWA (LAC) AU BARRAGE DE KIPAWA, Discontinued, QC,46.7819,-78.9856,5960,26,1972,1997, True, , True, , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JE008, , KAIBUSKONG RIVER AT BONFIELD, Discontinued, ON,46.2347,-79.15,174,1,1915,1915, True, True, , , Seasonal, , , BURLINGTON, , ONTARIO POWER GENERATION
02JE011, , LAKE TIMISKAMING AT HAILEYBURY, Active, ON,47.4501,-79.6298, ,114,1906,2019, True, , True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JE012, , OTTAWA RIVER AT LA CAVE RAPIDS, Discontinued, ON,46.3778,-78.7233,47900,43,1952,1994, True, True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, ONTARIO MINISTRY OF THE ENVIRONMENT
02JE013, , OTTAWA RIVER AT MATTAWA, Active, ON,46.3204,-78.7108, ,112,1906,2018, True, , True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JE014, , MATTAWA RIVER NEAR RUTHERGLEN, Discontinued, ON,46.3012,-78.8786,2040,10,1962,1971, , True, , , Continuous, , , BURLINGTON, , 
02JE015, , KIPAWA (RIVIERE) EN AVAL DE LANIEL, Discontinued, QC,47.0692,-79.3104, ,39,1962,2011, , True, True, , Continuous, , , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JE016, , GORDON (RUISSEAU) EN AVAL DU BARRAGE DE KIPAWA, Discontinued, QC,46.7789,-78.9886,5960,49,1927,1975, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JE017, , KIPAWA (LAC) A LANIEL, Active, QC,47.0419,-79.2698,5980,25,1987,2011, , , True, , Continuous, True, , QUEBEC CITY, ASSUMED DATUM, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JE018, , FARR CREEK AT NORTH COBALT, Discontinued, ON,47.4244,-79.6331,62.9,13,1971,1983, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02JE019, , AMABLE DU FOND RIVER AT SAMUEL DE CHAMPLAIN PROVINCIAL PARK, Discontinued, ON,46.3,-78.8792,1130,24,1972,1995, True, True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JE020, , MATTAWA RIVER BELOW BOUILLON LAKE, Discontinued, ON,46.2989,-78.9072,909,28,1971,1998, True, True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JE021, , MATABITCHUAN RIVER AT RABBIT LAKE DAM, Discontinued, ON,47.0289,-79.5872,749,49,1946,1994, True, True, , , Continuous, , , BURLINGTON, GEODETIC SURVEY OF CANADA DATUM, ONTARIO MINISTRY OF THE ENVIRONMENT
02JE022, , GORDON (RUISSEAU) AU LAC TEE, Discontinued, QC,46.7594,-79.0456,5960,1,1963,1963, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JE023, , KIPAWA (RIVIERE) AU LAC SAIRS, Discontinued, QC,46.7778,-78.4875,2590,11,1965,1975, , True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JE024, , OTTAWA RIVER BELOW TEMISCAMING, Discontinued, ON,46.7076,-79.1014, ,33,1987,2019, True, , True, , Continuous, , , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JE025, , TEMISCAMINGUE (LAC) A TEMISCAMING, Active, QC,46.7184,-79.105, ,33,1987,2019, , , True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JE026, , TEMISCAMINGUE (LAC) A VILLE-MARIE, Active, QC,47.3293,-79.4446, ,33,1987,2019, , , True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JE027, , AMABLE DU FOND RIVER AT KIOSK, Active, ON,46.0914,-78.8851,706,14,2005,2018, , True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02JE028, , NET CREEK BELOW NET LAKE, Active, ON,47.0825,-79.7314,368,12,2008,2019, True, True, True, , Continuous, True, , BURLINGTON, , WATER SURVEY OF CANADA (DOE) (CANADA)
02JE029, , KIPAWA (RIVIERE) A 0.2 KM EN AVAL DU BARRAGE LANIEL, Active, QC,47.0424,-79.2731,5977,8,1962,2013, , True, True, , Continuous, True, , QUEBEC CITY, , MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JE030, , KIPAWA (LAC) A KIPAWA, Active, QC,46.7799,-78.9832,5977,32,1972,2013, , , True, , Continuous, True, , QUEBEC CITY, , MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JE031, , GORDON (RUISSEAU) A LA DECHARGE DU LAC TEE A KIPAWA, Active, QC,46.767,-79.0279,6022,6,2008,2013, True, , True, , Continuous, True, , QUEBEC CITY, , MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02JE032, , OTTAWA RIVER AT THORNE, Active, ON,46.7001,-79.0986, ,3,2017,2019, True, , True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KA002, , OTTAWA RIVER AT DES JOACHIMS, Discontinued, ON,46.1833,-77.6978,57500,45,1950,1994, True, True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, ONTARIO MINISTRY OF THE ENVIRONMENT
02KA003, , PERCH LAKE OUTLET NEAR CHALK RIVER, Discontinued, ON,46.0356,-77.3708,7.3,30,1966,1995, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KA004, , PERCH LAKE INLET NO. 1 NEAR CHALK RIVER, Discontinued, ON,46.0361,-77.3792,0.93,22,1967,1988, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02KA005, , PERCH LAKE INLET NO. 2 NEAR CHALK RIVER, Discontinued, ON,46.0367,-77.3756,3.6,22,1967,1988, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02KA006, , PERCH LAKE INLET NO. 3 NEAR CHALK RIVER, Discontinued, ON,46.0303,-77.3714,0.81,21,1967,1987, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02KA007, , PERCH LAKE INLET NO. 4 NEAR CHALK RIVER, Discontinued, ON,46.03,-77.3753,0.24,21,1967,1987, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02KA008, , PERCH LAKE INLET NO. 5 NEAR CHALK RIVER, Discontinued, ON,46.0328,-77.3786,0.11,16,1972,1987, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02KA009, , TRIBUTARY TO PERCH LAKE INLET NO. 2 NEAR CHALK RIVER, Discontinued, ON,46.0422,-77.3822,2.88,6,1982,1988, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02KA010, , EAST TRIBUTARY TO PERCH LAKE INLET NO. 2 NEAR CHALK RIVER, Discontinued, ON,46.0389,-77.3753,0.25,7,1982,1988, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02KA011, , DUMOINE (RIVIERE) EN AMONT DE LA RIVIERE DES OUTAOUAIS, Discontinued, QC,46.2314,-77.2314,4350,24,1926,1949, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KA012, , MAGANASIPI (RIVIERE) EN AMONT DE LA RIVIERE DES OUTAOUAIS, Discontinued, QC,46.2856,-78.3125,622,3,1929,1931, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KA013, , MAGANASIPI (RIVIERE) AU LAC JOHNSON, Discontinued, QC,46.3317,-78.3483,575,34,1970,2003, True, True, True, , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KA014, , MAGANASIPI (RIVIERE) EN AMONT DE LA RIVIERE DES OUTAOUAIS, Discontinued, QC,46.3006,-78.3169,619,5,1966,1970, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KA015, , AUMOND CREEK NEAR MATTAWA, Active, ON,46.2761,-78.4788,167,11,2008,2018, , True, True, , Continuous, True, , BURLINGTON, , WATER SURVEY OF CANADA (DOE) (CANADA)
02KB001, , PETAWAWA RIVER NEAR PETAWAWA, Active, ON,45.8862,-77.3153,4120,104,1915,2018, True, True, True, , Continuous, True, True, BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KC001, , BONNECHERE RIVER NEAR EGANVILLE, Discontinued, ON,45.5278,-77.0806,1740,1,1915,1915, True, True, , , Seasonal, , , BURLINGTON, , ONTARIO POWER GENERATION
02KC002, , BONNECHERE RIVER AT GOLDEN LAKE, Discontinued, ON,45.5742,-77.2333, ,12,1915,1956, True, True, True, , Continuous, , , BURLINGTON, ASSUMED DATUM, ONTARIO POWER GENERATION
02KC003, , BONNECHERE RIVER AT RENFREW, Discontinued, ON,45.4819,-76.6875,2280,6,1916,1921, True, True, , , Continuous, , , BURLINGTON, , ONTARIO POWER GENERATION
02KC005, , OTTAWA RIVER NEAR WESTMEATH, Discontinued, ON,45.895,-76.9117, ,61,1935,1995, True, , True, , Continuous, , , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KC009, , BONNECHERE RIVER NEAR CASTLEFORD, Active, ON,45.4965,-76.5646,2380,98,1921,2018, True, True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KC010, , BONNECHERE RIVER AT ROUND LAKE, Discontinued, ON,45.62,-77.4633, ,11,1946,1956, True, , True, , Continuous, , , BURLINGTON, ASSUMED DATUM, ONTARIO POWER GENERATION
02KC011, , OUTAOUAIS (RIVIERE DES) PRES DE PORTAGE-DU-FORT, Discontinued, QC,45.6103,-76.6708,74300,7,1942,1948, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KC012, , OTTAWA RIVER AT ARNPRIOR, Discontinued, ON,45.4444,-76.3528, ,76,1906,1988, True, , True, , Continuous, , , BURLINGTON, GEODETIC SURVEY OF CANADA DATUM, ONTARIO POWER GENERATION
02KC013, , OTTAWA RIVER AT PEMBROKE, Discontinued, ON,45.8292,-77.1172, ,83,1905,1993, True, , True, , Continuous, , , BURLINGTON, GEODETIC SURVEY OF CANADA DATUM, ONTARIO MINISTRY OF THE ENVIRONMENT
02KC014, , INDIAN RIVER NEAR PEMBROKE, Discontinued, ON,45.7853,-77.1383,443,17,1969,1985, , True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, 
02KC015, , MUSKRAT RIVER NEAR PEMBROKE, Active, ON,45.7979,-77.108,674,21,1969,2018, , True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KC016, , OTTAWA RIVER AT SANDPOINT, Discontinued, ON,45.4875,-76.4347, ,7,1988,1994, True, , True, , Continuous, , , BURLINGTON, GEODETIC SURVEY OF CANADA DATUM, ONTARIO MINISTRY OF THE ENVIRONMENT
02KC017, , OUTAOUAIS (RIVIERE DES) CENTRALE DE BRYSON, Discontinued, QC,45.6611,-76.6306,73700,10,1985,1994, True, True, , , Continuous, , , QUEBEC CITY, , QUEBEC HYDRO-ELECTRIC COMMISSION
02KC018, , INDIAN RIVER AT PEMBROKE, Active, ON,45.8183,-77.1251,465,12,2007,2018, , True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KD001, , MADAWASKA RIVER AT MADAWASKA, Discontinued, ON,45.5139,-77.9847,1370,28,1915,1942, True, True, , , Continuous, , , BURLINGTON, , 
02KD002, , YORK RIVER NEAR BANCROFT, Active, ON,45.0521,-77.846,844,92,1915,2018, , True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KD004, , MADAWASKA RIVER AT PALMER RAPIDS, Active, ON,45.3281,-77.5155,5800,90,1930,2019, True, True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KD006, , MADAWASKA RIVER AT WHITNEY, Discontinued, ON,45.4967,-78.2333,1010,16,1942,1957, True, True, , , Continuous, , , BURLINGTON, , 
02KD007, , MADAWASKA RIVER AT BARK LAKE DAM, Discontinued, ON,45.4164,-77.7881,2720,53,1942,1994, True, True, , , Continuous, , , BURLINGTON, GEODETIC SURVEY OF CANADA DATUM, ONTARIO POWER GENERATION
02KD008, , BAPTISTE LAKE AT BAPTISTE LAKE DAM, Discontinued, ON,45.1189,-77.9167, ,37,1941,1977, True, , True, , Continuous, , , BURLINGTON, ASSUMED DATUM, ONTARIO POWER GENERATION
02KD009, , WESLEMKOON LAKE AT WESLEMKOON, Discontinued, ON,44.9839,-77.4172, ,2,1975,1976, True, , True, , Continuous, , , BURLINGTON, ASSUMED DATUM, ONTARIO POWER GENERATION
02KE002, , MADAWASKA RIVER NEAR ARNPRIOR, Discontinued, ON,45.4064,-76.4444,8260,29,1921,1950, True, True, , , Continuous, , , BURLINGTON, , 
02KE003, , MADAWASKA RIVER AT CALABOGIE, Discontinued, ON,45.3042,-76.7083,8000,17,1937,1953, True, True, , , Seasonal, , , BURLINGTON, , ONTARIO POWER GENERATION
02KE004, , MADAWASKA RIVER AT CLAY BANK, Discontinued, ON,45.4056,-76.3936,8310,2,1916,1917, True, True, , , Seasonal, , , BURLINGTON, , ONTARIO POWER GENERATION
02KE005, , MADAWASKA RIVER AT STEWARTVILLE, Discontinued, ON,45.4069,-76.5078,8160,46,1949,1994, True, True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, ONTARIO MINISTRY OF THE ENVIRONMENT
02KF001, , MISSISSIPPI RIVER AT FERGUSONS FALLS, Active, ON,45.0533,-76.2861,2660,42,1915,2018, True, True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF002, , MISSISSIPPI RIVER AT GALETTA, Discontinued, ON,45.4167,-76.25,3780,5,1915,1919, True, True, , , Continuous, , , BURLINGTON, , ONTARIO POWER GENERATION
02KF003, , MISSISSIPPI RIVER NEAR SNOW ROAD STATION, Discontinued, ON,44.9406,-76.6878,1280,5,1915,1919, True, True, , , Continuous, , , BURLINGTON, , ONTARIO POWER GENERATION
02KF004, , OUTAOUAIS (RIVIERE DES) A QUYON, Discontinued, QC,45.5167,-76.2306,89900,57,1915,1978, True, True, True, , Continuous, , , BURLINGTON, ARBITRAIRE, 
02KF005, , OTTAWA RIVER AT BRITANNIA, Active, ON,45.3512,-75.8267,90900,100,1915,2019, True, True, True, True, Continuous, True, , BURLINGTON, CANADIAN GEODETIC VERTICAL DATUM 1928:EPOCH1997, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF006, , MISSISSIPPI RIVER AT APPLETON, Active, ON,45.1763,-76.1235,2940,102,1918,2019, True, True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF007, , MISSISSIPPI RIVER AT RAGGED CHUTE, Discontinued, ON,44.9406,-76.7267,1040,39,1919,1957, True, True, , , Continuous, , , BURLINGTON, , 
02KF009, , OTTAWA RIVER AT CHATS FALLS, Discontinued, ON,45.475,-76.2392,89600,80,1915,1994, True, True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, ONTARIO MINISTRY OF THE ENVIRONMENT
02KF010, , CLYDE RIVER NEAR LANARK, Active, ON,45.0458,-76.4009,618,49,1970,2018, True, True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF011, , CARP RIVER NEAR KINBURN, Active, ON,45.4176,-76.1987,258,48,1971,2018, , True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF012, , INDIAN RIVER NEAR BLAKENEY, Active, ON,45.2454,-76.2603,212,46,1971,2019, True, True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF013, , CLYDE RIVER AT GORDON RAPIDS, Active, ON,45.134,-76.6299,291,48,1971,2018, True, True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF014, , FALL RIVER NEAR FALLBROOK, Discontinued, ON,44.9503,-76.4031,277,19,1974,1992, True, True, , , Continuous, , , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF015, , GRAHAM CREEK AT NEPEAN, Active, ON,45.3436,-75.8081,26.5,23,1987,2019, , True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF016, , MISSISSIPPI RIVER BELOW MARBLE LAKE, Active, ON,44.8432,-77.1201,359,32,1988,2019, , True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF017, , BUCKSHOT CREEK NEAR PLEVNA, Active, ON,44.9684,-76.9663,152,26,1993,2018, , True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF018, , FALL RIVER AT OUTLET OF BENNETT LAKE, Active, ON,44.9478,-76.4108,280,16,2003,2018, True, True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF019, , MISSISSIPPI RIVER AT OUTLET OF DALHOUSIE LAKE, Active, ON,44.9719,-76.5387,1310,16,2003,2018, True, True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KF020, , SHARBOT LAKE AT OUTLET OF SHARBOT LAKE, Active, ON,44.7749,-76.641,139,17,2003,2019, , , True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02KG001, , COULONGE (RIVIERE) PRES DE FORT-COULONGE, Discontinued, QC,45.8739,-76.6858,5150,68,1926,1993, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KG003, , COULONGE (RIVIERE) EN AMONT DE LA RIVIERE COULONGE EST, Discontinued, QC,46.155,-76.7578,3680,7,1966,1972, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KG005, , COULONGE (RIVIERE) AU PONT TERRY-FOX QUI MENE AU CLUB DE GOLF DE PONTEFRACT, Discontinued, QC,45.9081,-76.6728,5130,5,2004,2008, True, True, True, , Continuous, , , QUEBEC CITY, , MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KH001, , NOIRE (RIVIERE), Discontinued, QC,45.9786,-76.8306,2560,25,1926,1950, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KH002, , NOIRE (RIVIERE) A WALTHAM-STATION, Discontinued, QC,45.9189,-76.92,2640,32,1955,1986, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, PEMBROKE ELECTRIC LIGHT COMPANY
02KH003, , NOIRE (RIVIERE), Discontinued, QC,46.0333,-76.8658,2530,7,1951,1957, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KH004, , NOIRE (RIVIERE), Discontinued, QC,46.2836,-77.0778,1800,11,1961,1972, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KJ003, , DUMOINE (RIVIERE) AU LAC DUMOINE, Discontinued, QC,46.8222,-77.8683,2110,31,1967,1997, , True, True, , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KJ004, , DUMOINE (RIVIERE) A LA SORTIE DU LAC ROBINSON, Active, QC,46.3458,-77.8156,3760,49,1965,2013, True, True, , , Continuous, True, , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02KJ007, , KIPAWA (RIVIERE) AU LAC DUMOINE, Discontinued, QC,46.9703,-78.0425,2110,31,1967,1997, , True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
02LA001, , TAY RIVER NEAR GLEN TAY, Discontinued, ON,44.8769,-76.3022,528,12,1915,1926, True, True, , , Continuous, , , BURLINGTON, , ONTARIO POWER GENERATION
02LA003, , OTTAWA RIVER AT RIDEAU LOCKS, Discontinued, ON,45.4264,-75.6983, ,128,1850,1977, True, , True, , Continuous, , , BURLINGTON, GEODETIC SURVEY OF CANADA DATUM, TRANSPORT CANADA
02LA004, , RIDEAU RIVER AT OTTAWA, Active, ON,45.3815,-75.697,3810,87,1933,2019, True, True, True, , Continuous, True, , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
02LA005, , RIDEAU RIVER ABOVE SMITHS FALLS, Discontinued, ON,44.8906,-76.0625,1290,27,1970,1996, True, True, , , Seasonal, , , BURLINGTON, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
